day_of_week,hour,service_type,queue_length,people_arriving,people_served,active_counters,staff_available,average_service_time,capacity,holiday,current_crowd,waiting_time,future_crowd,crowd_level,year,month,day
6,10,1,112,7,1,2,2,10.282879058864546,2,0,119,577.01,124,2,2025,1,1
6,11,3,115,5,2,2,2,6.262914520456548,3,1,120,362.23,125,2,2025,1,1
6,11,2,118,4,1,2,2,8.371919120620404,2,1,122,495.96,123,2,2025,1,1
6,11,3,118,5,5,3,4,5.1160517589269885,6,0,123,200.89,120,2,2025,1,1
6,11,2,119,3,2,2,3,7.281027930408701,3,1,122,435.28,120,2,2025,1,1
6,11,0,131,14,2,3,3,10.586570154532376,3,0,145,466.3,158,2,2025,1,1
6,11,3,130,7,8,4,4,4.272134841548643,9,0,137,142.1,133,2,2025,1,1
6,12,3,141,12,1,1,3,4.621844439039469,2,0,153,651.12,163,2,2025,1,1
6,12,2,144,5,2,2,2,7.923391850946486,3,0,149,568.64,155,2,2025,1,1
6,12,0,151,10,3,4,4,10.695264564510154,4,0,161,401.57,170,2,2025,1,1
6,12,0,158,7,0,1,2,12.411535197962682,1,0,165,1963.74,174,2,2025,1,1
6,12,0,163,7,2,4,6,11.653198392588347,3,0,170,474.8,172,2,2025,1,1
6,12,3,162,9,10,5,5,4.694801039009954,11,0,171,152.04,167,2,2025,1,1
6,13,1,162,0,0,1,3,8.423868321253963,1,1,162,1362.66,159,2,2025,1,1
6,13,3,162,2,2,1,3,3.0,3,1,164,490.28,165,2,2025,1,1
6,13,2,163,4,3,3,5,5.856973083578811,5,0,167,321.19,167,2,2025,1,1
6,13,0,167,4,0,1,3,10.129190399222784,1,0,171,1693.89,173,2,2025,1,1
6,13,1,167,2,2,4,4,14.483855854233248,3,0,169,603.76,166,2,2025,1,1
6,13,3,162,1,6,5,5,6.625249965785929,8,0,163,216.11,155,2,2025,1,1
6,14,1,164,5,3,5,5,13.562449973901836,4,0,169,446.4,172,2,2025,1,1
6,14,1,172,9,1,2,2,12.829236751780387,2,0,181,1104.92,192,2,2025,1,1
6,14,0,182,12,2,2,2,6.723555356535266,3,0,194,615.48,201,2,2025,1,1
6,14,0,188,10,4,4,6,7.829763072800963,5,0,198,367.29,205,2,2025,1,1
6,14,2,192,5,1,2,4,8.379657496252928,2,1,197,805.55,204,2,2025,1,1
6,14,1,191,3,4,5,5,10.645552547448672,5,0,194,408.62,191,2,2025,1,1
6,15,3,188,5,8,5,6,5.833782254008562,9,0,193,217.63,193,2,2025,1,1
6,15,0,188,3,3,3,3,8.538219911366102,4,0,191,536.87,192,2,2025,1,1
6,15,0,193,5,0,1,1,7.468706806940936,1,0,198,1440.04,203,2,2025,1,1
6,15,1,202,9,0,1,2,10.544133765661822,1,0,211,2129.58,220,2,2025,1,1
6,15,0,201,0,1,2,4,12.266146201568574,2,0,201,1234.27,197,2,2025,1,1
6,15,1,206,7,2,4,4,11.832604932939388,3,0,213,607.74,215,2,2025,1,1
6,16,1,216,10,0,1,2,13.46924140412552,1,0,226,2910.2,237,2,2025,1,1
6,16,1,223,7,0,1,3,13.064665103247972,1,0,230,2912.96,238,2,2025,1,1
6,16,3,226,9,6,5,6,7.139179796707474,7,0,235,323.65,241,2,2025,1,1
6,16,3,228,5,3,2,4,5.625712525637834,4,1,233,640.51,234,2,2025,1,1
6,16,3,231,7,4,4,5,6.242459540692996,6,0,238,360.58,238,2,2025,1,1
6,16,0,238,9,2,3,5,10.29688189266064,3,0,247,816.78,251,2,2025,1,1
6,17,1,244,9,3,4,4,9.986030410398364,4,0,253,604.44,260,2,2025,1,1
6,17,1,250,7,1,2,3,12.382795349437188,2,0,257,1546.61,260,2,2025,1,1
6,17,2,258,12,4,4,5,8.547727119010059,5,0,270,547.76,275,2,2025,1,1
6,17,1,263,5,0,1,1,11.329847959076687,1,0,268,2978.94,275,2,2025,1,1
6,17,1,267,7,3,4,5,9.881714649627568,4,0,274,657.87,278,2,2025,1,1
6,17,0,276,10,1,2,2,9.445170382183054,2,0,286,1301.43,297,2,2025,1,1
6,18,1,277,4,3,4,5,10.93155585312361,4,0,281,757.08,285,2,2025,1,1
6,18,3,274,0,3,2,3,4.977731308960609,4,1,274,678.82,268,2,2025,1,1
6,18,1,279,5,0,1,2,12.73787633900297,1,0,284,3554.48,289,2,2025,1,1
6,18,3,277,3,5,5,7,7.526789074679541,7,0,280,413.5,280,2,2025,1,1
6,18,2,280,6,3,4,5,8.594644924597624,5,0,286,600.93,292,2,2025,1,1
6,18,2,278,0,2,1,1,3.3726107322557946,3,0,278,940.52,274,2,2025,1,1
6,19,0,275,1,4,5,7,9.499954417018634,5,0,276,521.83,271,2,2025,1,1
6,19,2,278,3,0,1,2,8.099681464561034,1,0,281,2252.59,285,2,2025,1,1
6,19,2,271,0,7,5,6,6.591102569404403,8,0,271,356.47,262,2,2025,1,1
6,19,3,270,3,4,5,5,7.901980216640474,6,0,273,427.78,274,2,2025,1,1
6,19,2,268,2,4,3,5,6.04570235987804,5,0,270,539.24,266,2,2025,1,1
6,19,1,268,4,4,5,6,9.56087571147012,5,0,272,511.73,270,2,2025,1,1
6,20,2,268,6,6,5,6,5.725612858485437,9,0,274,304.58,272,2,2025,1,1
6,20,2,271,4,1,1,3,5.901992549219066,2,0,275,1598.99,281,2,2025,1,1
6,20,1,274,3,0,2,2,13.6068066957368,1,0,277,1864.3,282,2,2025,1,1
6,20,3,269,3,8,5,7,5.555190750294693,9,0,272,298.33,268,2,2025,1,1
6,20,1,269,3,3,5,5,12.799688671281572,4,0,272,684.45,269,2,2025,1,1
6,20,1,270,2,1,2,3,11.416844975875543,2,0,272,1540.83,272,2,2025,1,1
6,21,2,269,4,5,5,7,8.585155954562792,6,0,273,459.36,269,2,2025,1,1
6,21,2,272,6,3,4,6,8.923251421026318,4,0,278,610.22,279,2,2025,1,1
6,21,3,268,1,5,4,6,6.163338453010045,6,0,269,412.39,268,2,2025,1,1
6,21,1,270,2,0,1,2,11.566863561086157,1,0,272,3122.97,276,2,2025,1,1
6,21,1,272,3,1,3,4,12.28672154043958,2,0,275,1112.75,275,2,2025,1,1
6,21,1,271,1,2,4,4,12.884025892884088,3,0,272,870.8,270,2,2025,1,1
6,22,3,263,3,11,4,5,3.0,13,0,266,196.03,257,2,2025,1,1
6,22,1,260,1,4,5,5,10.404843488298178,5,0,261,540.64,259,2,2025,1,1
6,22,2,259,4,5,5,7,7.992408268537414,6,0,263,412.81,262,2,2025,1,1
6,22,1,261,4,2,4,6,13.822060247229334,3,0,265,902.48,265,2,2025,1,1
6,22,1,262,3,2,4,6,11.43521286292398,3,0,265,750.08,266,2,2025,1,1
6,22,0,261,3,4,5,6,9.398343055288732,5,0,264,494.02,262,2,2025,1,1
6,23,1,264,4,1,2,4,11.295394200917396,2,0,268,1494.28,272,2,2025,1,1
6,23,2,265,6,5,4,5,6.420259243686955,6,0,271,427.11,272,2,2025,1,1
6,23,2,264,3,4,3,3,5.154653876329568,6,0,267,458.39,263,2,2025,1,1
6,23,1,267,4,1,2,2,11.139734554527324,2,0,271,1486.16,274,2,2025,1,1
6,23,1,267,2,2,3,4,11.341575954270898,3,0,269,1008.36,267,2,2025,1,1
6,23,1,268,3,2,3,5,10.641925151071652,3,0,271,945.63,275,2,2025,1,1
4,0,1,2,2,0,1,1,11.417515656251302,1,0,4,19.14,6,0,2025,1,2
4,0,3,0,1,8,5,7,5.435057538606332,9,0,1,1.24,0,0,2025,1,2
4,0,0,0,1,2,3,3,11.262771660064516,3,0,1,0.0,0,0,2025,1,2
4,0,1,6,8,2,4,6,12.316933524288276,3,0,14,15.64,20,1,2025,1,2
4,0,3,2,4,8,4,5,4.521711537489677,9,0,6,4.11,2,0,2025,1,2
4,0,1,7,6,1,2,3,12.76544574449543,2,0,13,45.98,19,1,2025,1,2
4,1,2,2,0,5,4,6,6.831430969285978,6,0,2,2.73,0,0,2025,1,2
4,1,1,3,3,2,4,4,13.061623218650682,3,0,6,13.98,10,0,2025,1,2
4,1,3,4,1,0,1,1,6.764555733177513,1,0,5,27.15,7,0,2025,1,2
4,1,1,5,3,2,3,4,9.724753458467578,3,0,8,19.6,12,0,2025,1,2
4,1,2,1,4,8,5,5,5.873624572642381,9,0,5,1.64,3,0,2025,1,2
4,1,1,3,3,1,2,4,12.240082182297876,2,0,6,17.67,9,0,2025,1,2
4,2,0,10,7,0,1,2,9.843730768507664,1,0,17,99.95,24,1,2025,1,2
4,2,0,12,4,2,3,5,10.992978875135789,3,0,16,41.56,19,1,2025,1,2
4,2,1,18,8,2,3,4,9.508108303678956,3,0,26,58.49,31,1,2025,1,2
4,2,0,18,3,3,4,6,10.903096646446498,4,0,21,50.58,19,1,2025,1,2
4,2,1,19,3,2,4,5,13.288271936085938,3,0,22,66.33,21,1,2025,1,2
4,2,0,22,4,1,2,2,9.936659902087422,2,0,26,109.88,27,1,2025,1,2
4,3,0,21,3,4,5,7,10.588023160002114,5,0,24,45.12,25,1,2025,1,2
4,3,1,22,4,3,4,5,9.906721829268484,4,0,26,56.26,24,1,2025,1,2
4,3,3,11,1,12,5,6,3.437317013957162,15,1,12,7.21,4,0,2025,1,2
4,3,2,7,1,5,4,6,6.2016979311193134,6,1,8,11.22,4,0,2025,1,2
4,3,1,9,5,3,5,6,13.01471567253353,4,0,14,22.71,14,0,2025,1,2
4,3,3,4,4,9,4,5,3.2871351638106714,12,0,8,2.9,0,0,2025,1,2
4,4,3,0,4,10,4,5,3.437752526227669,12,0,4,0.0,0,0,2025,1,2
4,4,1,0,3,3,4,5,10.643406114107254,4,1,3,1.56,1,0,2025,1,2
4,4,0,0,2,3,4,4,10.282043392205312,4,0,2,1.4,4,0,2025,1,2
4,4,3,0,5,8,5,6,5.715561257985317,9,0,5,3.75,0,0,2025,1,2
4,4,1,8,8,0,1,3,10.65543769505561,1,0,16,83.17,27,1,2025,1,2
4,4,1,13,6,1,2,3,13.164898125969376,2,0,19,85.95,23,1,2025,1,2
4,5,0,20,7,0,1,3,11.200865265763436,1,0,27,223.15,37,2,2025,1,2
4,5,3,15,2,7,5,6,6.233639151856144,8,0,17,18.2,9,0,2025,1,2
4,5,0,14,0,1,2,3,12.44425768038196,2,0,14,83.28,13,0,2025,1,2
4,5,1,15,3,2,4,4,12.330280087706154,3,0,18,45.33,16,1,2025,1,2
4,5,2,15,0,0,1,2,6.7699567463462,1,0,15,101.99,14,0,2025,1,2
4,5,3,16,4,3,2,3,5.550751412275034,4,0,20,46.87,20,1,2025,1,2
4,6,1,16,0,0,1,1,15.957195364433495,1,0,16,254.32,19,1,2025,1,2
4,6,3,17,5,4,5,6,9.171675786453791,5,0,22,35.44,25,1,2025,1,2
4,6,2,20,5,2,2,2,7.69351398391905,3,0,25,75.21,31,1,2025,1,2
4,6,2,23,8,5,4,4,7.147711241758556,6,0,31,41.25,32,1,2025,1,2
4,6,1,25,3,1,3,3,12.941148495290836,2,0,28,107.96,30,1,2025,1,2
4,6,0,30,8,3,4,4,10.923394992116108,4,0,38,83.15,43,2,2025,1,2
4,7,2,30,4,4,3,5,5.478615095096356,5,0,34,54.8,33,1,2025,1,2
4,7,1,29,1,2,4,5,12.41768451321376,3,0,30,90.56,32,1,2025,1,2
4,7,1,29,3,3,5,6,11.619349465507383,4,0,32,67.24,31,1,2025,1,2
4,7,1,29,1,1,2,3,9.70641062971747,2,0,30,141.29,27,1,2025,1,2
4,7,3,31,3,1,1,2,5.486454891919999,2,0,34,171.3,33,1,2025,1,2
4,7,2,32,7,6,4,4,5.083880684369809,8,0,39,46.19,42,2,2025,1,2
4,8,2,29,0,3,3,5,7.581246296040608,4,0,29,69.2,23,1,2025,1,2
4,8,0,30,2,1,2,3,8.013181035827651,2,0,32,123.25,36,2,2025,1,2
4,8,1,34,4,0,1,3,11.08503425229738,1,0,38,379.93,39,2,2025,1,2
4,8,1,40,7,1,3,3,12.18971967227866,2,0,47,163.11,55,2,2025,1,2
4,8,0,40,2,2,3,5,10.231153195880305,3,0,42,134.57,45,2,2025,1,2
4,8,2,40,2,2,2,3,6.279737850507485,3,0,42,129.81,42,2,2025,1,2
4,9,2,40,5,5,5,6,6.677926941316303,7,0,45,53.42,48,2,2025,1,2
4,9,0,39,3,4,5,6,9.166645415469873,5,0,42,72.33,39,2,2025,1,2
4,9,0,46,10,3,5,5,11.281861086532878,4,0,56,105.51,60,2,2025,1,2
4,9,3,47,7,6,2,2,3.0516995209727167,7,0,54,72.19,55,2,2025,1,2
4,9,3,48,5,4,3,5,5.979672608578048,5,0,53,93.83,53,2,2025,1,2
4,9,2,49,3,2,2,4,6.376322562657336,3,0,52,155.24,54,2,2025,1,2
4,10,0,58,12,3,5,7,11.889163857625134,4,0,70,138.69,77,2,2025,1,2
4,10,3,63,10,5,4,6,5.341862806924056,7,0,73,83.77,75,2,2025,1,2
4,10,3,65,5,3,2,2,5.706506430450928,4,0,70,186.88,70,2,2025,1,2
4,10,0,72,10,3,4,4,11.130919589602488,4,0,82,202.1,86,2,2025,1,2
4,10,3,71,12,13,5,6,3.0,17,0,83,42.63,84,2,2025,1,2
4,10,3,75,7,3,2,2,5.151697884091047,4,0,82,197.15,83,2,2025,1,2
4,11,1,83,9,1,2,2,11.756597344255558,2,0,92,486.94,97,2,2025,1,2
4,11,0,85,5,3,4,4,10.291087335031952,4,0,90,214.83,95,2,2025,1,2
4,11,0,92,7,0,1,1,11.00990435028312,1,0,99,1015.8,109,2,2025,1,2
4,11,1,96,7,3,4,4,10.221275069370297,4,0,103,243.68,105,2,2025,1,2
4,11,0,102,9,3,5,6,9.655450478536483,5,0,111,197.95,117,2,2025,1,2
4,11,1,109,9,2,4,5,13.234723497766218,3,0,118,359.74,124,2,2025,1,2
4,12,1,119,10,0,1,2,15.021986035799014,1,0,129,1787.85,141,2,2025,1,2
4,12,0,130,14,3,5,6,11.11973103632839,4,0,144,290.28,157,2,2025,1,2
4,12,0,138,9,1,2,3,10.42393076619381,2,0,147,716.22,153,2,2025,1,2
4,12,2,149,14,3,2,3,5.562709587407469,4,0,163,413.07,172,2,2025,1,2
4,12,0,155,6,0,1,1,12.677689093388611,1,1,161,1964.18,164,2,2025,1,2
4,12,1,162,10,3,5,5,12.02928003302804,4,0,172,389.85,177,2,2025,1,2
4,13,3,154,6,14,5,5,3.0,17,0,160,92.41,153,2,2025,1,2
4,13,1,156,3,1,2,4,10.65917801503978,2,0,159,831.48,160,2,2025,1,2
4,13,1,157,4,3,4,4,9.45124564039772,4,0,161,371.09,164,2,2025,1,2
4,13,1,162,7,2,4,4,12.456126270220018,3,0,169,506.71,172,2,2025,1,2
4,13,2,159,2,5,5,5,8.748853041566644,6,0,161,278.09,156,2,2025,1,2
4,13,1,163,4,0,1,3,13.762238980489697,1,0,167,2243.72,171,2,2025,1,2
4,14,2,172,9,0,1,1,8.796254173350452,1,0,181,1513.23,190,2,2025,1,2
4,14,0,182,12,2,2,4,7.793300034008838,3,0,194,708.46,205,2,2025,1,2
4,14,0,187,7,2,3,5,10.068748791796834,3,0,194,629.81,197,2,2025,1,2
4,14,1,194,7,0,1,1,13.346813811724596,1,0,201,2593.24,205,2,2025,1,2
4,14,1,200,7,1,3,4,13.383253708509292,2,0,207,894.12,212,2,2025,1,2
4,14,1,208,10,2,4,5,11.988095237740636,3,0,218,623.09,225,2,2025,1,2
4,15,3,216,12,4,2,3,3.4832613928941205,6,0,228,377.05,239,2,2025,1,2
4,15,0,220,7,3,4,5,9.80931730619098,4,0,227,537.4,230,2,2025,1,2
4,15,1,223,3,0,1,3,12.786813014788075,1,0,226,2849.41,226,2,2025,1,2
4,15,3,226,9,6,4,6,6.10379363708566,7,0,235,343.97,235,2,2025,1,2
4,15,0,232,9,3,5,7,12.096689836385329,4,0,241,559.51,250,2,2025,1,2
4,15,3,233,10,9,4,4,3.8785425661918618,10,0,243,225.66,243,2,2025,1,2
4,16,2,240,10,3,3,3,6.935415299041845,4,0,250,557.07,259,2,2025,1,2
4,16,2,241,5,4,3,3,6.463181363151697,5,0,246,519.12,250,2,2025,1,2
4,16,2,245,9,5,4,5,6.201572304980082,6,0,254,382.06,261,2,2025,1,2
4,16,1,254,9,0,1,3,11.922269919967272,1,0,263,3024.85,273,2,2025,1,2
4,16,3,256,9,7,3,4,3.630774105021377,8,0,265,310.27,266,2,2025,1,2
4,16,2,265,12,3,2,4,5.37537021318043,4,0,277,714.57,284,2,2025,1,2
4,17,1,263,1,3,5,5,12.903156052970196,4,0,264,676.52,262,2,2025,1,2
4,17,2,282,19,0,1,3,7.524147618840615,1,0,301,2120.46,323,2,2025,1,2
4,17,2,287,7,2,2,4,6.294654626606802,3,0,294,903.56,301,2,2025,1,2
4,17,2,292,5,0,1,3,7.001333040348843,1,0,297,2043.76,301,2,2025,1,2
4,17,1,295,5,2,3,5,10.683046480972765,3,0,300,1053.33,305,2,2025,1,2
4,17,1,311,16,0,1,2,13.714614751049622,1,0,327,4262.09,344,2,2025,1,2
4,18,2,313,4,2,2,4,7.269100141270627,3,0,317,1139.67,317,2,2025,1,2
4,18,1,315,2,0,1,3,11.137272052553008,1,0,317,3509.94,318,2,2025,1,2
4,18,3,318,7,4,3,5,5.848181187070788,5,0,325,616.91,325,2,2025,1,2
4,18,1,319,4,3,4,6,11.1826240684633,4,0,323,892.48,323,2,2025,1,2
4,18,2,319,2,2,2,2,6.600591115663704,3,1,321,1052.5,318,2,2025,1,2
4,18,0,323,7,3,4,5,10.278089372459895,4,0,330,829.17,336,2,2025,1,2
4,19,1,326,4,1,3,5,13.795837859866433,2,1,330,1500.16,333,2,2025,1,2
4,19,3,326,3,3,2,2,4.525615548223569,4,0,329,738.8,330,2,2025,1,2
4,19,0,326,3,3,4,5,10.44549843577616,4,0,329,851.44,326,2,2025,1,2
4,19,2,328,3,1,2,3,9.572565478299657,2,0,331,1568.52,335,2,2025,1,2
4,19,3,323,4,9,5,6,5.256863391717552,10,0,327,337.99,320,2,2025,1,2
4,19,1,323,3,3,4,5,11.286480375886622,4,0,326,909.48,327,2,2025,1,2
4,20,2,325,6,4,4,4,6.911687570378122,6,0,331,561.25,335,2,2025,1,2
4,20,0,323,2,4,5,6,10.23453971298992,5,0,325,660.52,325,2,2025,1,2
4,20,0,324,3,2,3,3,11.344050359144935,3,0,327,1224.78,325,2,2025,1,2
4,20,0,324,4,4,5,7,10.305840272486112,5,0,328,670.17,325,2,2025,1,2
4,20,1,324,1,1,2,2,10.067863889777836,2,0,325,1631.18,328,2,2025,1,2
4,20,1,324,1,1,2,3,12.605938701504671,2,1,325,2041.61,328,2,2025,1,2
4,21,2,323,1,2,2,3,6.487257185595977,3,0,324,1042.35,326,2,2025,1,2
4,21,2,322,3,4,3,4,6.235750044441952,5,0,325,668.21,324,2,2025,1,2
4,21,2,323,4,3,5,6,9.385306416116803,5,0,327,605.91,326,2,2025,1,2
4,21,2,331,9,1,1,1,5.172077161910126,2,0,340,1709.43,346,2,2025,1,2
4,21,1,330,2,3,4,5,10.59180074769754,4,1,332,873.92,331,2,2025,1,2
4,21,1,329,2,3,5,6,12.55739804396471,4,0,331,824.99,329,2,2025,1,2
4,22,0,332,4,1,2,2,10.047318783625586,2,0,336,1666.65,338,2,2025,1,2
4,22,0,332,5,5,5,6,9.075585546758138,6,0,337,603.6,336,2,2025,1,2
4,22,0,329,3,6,5,5,7.67080990240356,7,0,332,506.42,326,2,2025,1,2
4,22,0,327,1,3,3,3,8.533368096832325,4,0,328,927.76,323,2,2025,1,2
4,22,2,328,6,5,4,5,7.092690016531415,6,0,334,582.09,338,2,2025,1,2
4,22,1,331,4,1,3,3,13.09241566085371,2,0,335,1443.71,336,2,2025,1,2
4,23,1,332,2,1,3,5,12.293686643947805,2,0,334,1361.68,337,2,2025,1,2
4,23,3,335,6,3,2,4,5.374509290259095,4,0,341,897.76,346,2,2025,1,2
4,23,1,340,6,1,3,3,15.738139527364067,2,0,346,1781.12,353,2,2025,1,2
4,23,3,338,2,4,4,5,6.312408096620375,6,1,340,533.35,339,2,2025,1,2
4,23,1,341,3,0,2,2,13.341684663816554,1,0,344,2276.2,350,2,2025,1,2
4,23,1,341,2,2,3,3,9.576130824792903,3,0,343,1088.05,344,2,2025,1,2
0,0,1,5,6,1,2,3,11.592360326906176,2,0,11,30.96,19,1,2025,1,3
0,0,1,6,5,4,5,5,10.739102763484846,5,0,11,12.25,15,0,2025,1,3
0,0,3,6,3,3,4,4,10.279623424303084,4,0,9,14.64,11,0,2025,1,3
0,0,3,5,1,2,1,1,3.0,3,0,6,15.94,5,0,2025,1,3
0,0,2,13,8,0,1,2,8.615750842119455,1,0,21,112.87,28,1,2025,1,3
0,0,1,15,2,0,1,2,13.496653478002978,1,0,17,201.31,19,1,2025,1,3
0,1,3,8,0,7,5,6,5.689131351870133,9,0,8,6.42,3,0,2025,1,3
0,1,1,11,4,1,3,5,12.348829534893124,2,0,15,44.03,18,1,2025,1,3
0,1,0,9,1,3,5,5,12.28034939188149,4,0,10,22.8,5,0,2025,1,3
0,1,1,14,5,0,1,1,12.868576658780636,1,0,19,179.55,23,1,2025,1,3
0,1,0,15,3,2,3,4,10.3590934117021,3,0,18,49.38,19,1,2025,1,3
0,1,3,6,2,11,5,5,4.171372268131506,12,0,8,7.01,0,0,2025,1,3
0,2,3,1,0,5,3,4,5.098582621734284,6,0,1,0.0,0,0,2025,1,3
0,2,1,9,8,0,1,2,9.686646668979863,1,0,17,87.88,27,1,2025,1,3
0,2,1,8,2,3,4,6,10.12651942830596,4,0,10,20.43,10,0,2025,1,3
0,2,0,9,1,0,1,1,11.190461272511872,1,0,10,101.11,14,0,2025,1,3
0,2,0,13,4,0,1,1,13.140552621595228,1,0,17,170.23,19,1,2025,1,3
0,2,2,13,5,5,2,2,3.0,7,0,18,17.74,16,1,2025,1,3
