day_of_week,hour,service_type,queue_length,people_arriving,people_served,active_counters,staff_available,average_service_time,capacity,holiday,current_crowd,future_crowd,year,month,day
5,11,0,127,5,1,2,2,11.142006506183566,2,0,132,135,2025,10,7
6,8,1,1,1,2,3,5,11.165246847081082,3,0,2,4,2025,2,19
0,18,1,304,1,1,2,3,10.678045609822034,2,0,305,308,2025,3,21
5,14,2,229,16,6,5,7,6.308335890022207,8,0,245,257,2025,4,22
6,4,2,14,6,8,5,5,4.728734959119968,11,0,20,20,2025,1,29
0,16,0,265,9,2,3,4,9.417535367148629,3,0,274,281,2025,10,24
1,22,3,279,4,6,3,5,4.592019355950425,7,0,283,282,2025,6,16
6,22,1,354,4,2,4,6,12.453371211822006,3,0,358,363,2025,2,19
0,13,1,223,3,0,1,2,10.81421307402026,1,0,226,231,2025,9,5
5,12,3,154,1,13,5,7,3.277633925870233,15,0,155,141,2025,1,7
4,21,1,360,3,3,4,4,10.367691801144716,4,0,363,360,2025,5,15
5,19,3,248,3,11,5,5,4.225228211835601,12,0,251,240,2025,5,6
0,20,1,284,6,0,1,1,12.243905158216332,1,0,290,298,2025,8,8
6,10,3,103,7,4,4,6,6.75779522181021,6,0,110,116,2025,1,8
6,0,3,3,4,5,2,4,3.309965175490309,6,0,7,7,2025,10,29
5,3,0,27,4,3,5,7,9.618671326735242,5,0,31,32,2025,9,2
0,22,2,299,1,2,2,3,7.876303435734173,3,0,300,300,2025,8,1
2,16,2,92,8,3,4,5,9.260468764109252,4,0,100,106,2025,11,8
1,20,0,294,5,2,3,4,11.155824540771947,3,0,299,299,2025,10,6
4,7,1,44,5,0,1,1,11.4653563557634,1,0,49,55,2025,10,23
5,13,1,193,3,2,4,6,12.138962589398664,3,0,196,197,2025,4,22
6,22,3,353,2,12,4,5,3.0,13,1,355,342,2025,8,27
2,19,2,131,2,4,3,3,6.119676178543481,5,0,133,133,2025,4,5
5,5,0,34,4,3,3,4,7.896642466754914,4,0,38,39,2025,11,11
5,9,3,58,10,2,1,3,3.0,3,0,68,79,2025,7,15
6,21,1,393,3,1,3,5,13.672302937514244,2,0,396,396,2025,4,30
2,1,2,2,1,3,2,3,5.18373316272811,4,0,3,2,2025,7,26
2,19,1,88,1,1,2,3,12.26422718540896,2,0,89,89,2025,7,19
6,15,3,188,5,8,5,6,5.833782254008562,9,0,193,193,2025,1,1
1,10,2,95,10,1,1,3,5.899781393522147,2,0,105,111,2025,11,3
4,17,0,286,12,4,5,6,10.927508633257432,5,0,298,309,2025,7,3
4,14,0,237,5,0,1,2,13.01415834689698,1,0,242,246,2025,12,11
1,16,1,329,7,2,4,4,13.694466753525294,3,0,336,341,2025,10,13
0,6,2,44,4,5,5,6,8.337707722401683,6,0,48,45,2025,3,21
3,22,1,60,2,2,4,4,13.515848737632396,3,0,62,61,2025,9,7
2,11,2,41,3,1,1,2,5.76272871484413,2,0,44,48,2025,1,4
4,7,0,34,6,0,1,2,9.06550939242264,1,0,40,44,2025,6,5
3,13,0,57,1,5,5,6,8.100765096070845,6,0,58,53,2025,9,7
6,3,1,13,2,2,3,4,10.993654484047564,3,0,15,18,2025,7,16
5,12,2,180,10,3,2,4,4.911783757244158,4,0,190,197,2025,9,16
1,11,2,126,5,5,4,5,6.820662959923816,6,0,131,129,2025,4,21
3,19,1,86,2,1,3,4,12.420960936969273,2,0,88,87,2025,5,25
6,22,3,382,4,6,2,3,3.0,7,0,386,382,2025,11,19
6,9,0,61,5,4,5,5,8.057108510364923,6,0,66,65,2025,7,23
4,19,0,312,4,3,4,6,9.02476643046665,4,0,316,318,2025,7,31
6,17,2,321,12,1,2,4,9.430907470835873,2,0,333,341,2025,2,5
1,22,2,374,4,1,2,3,8.521941778227928,2,0,378,378,2025,9,8
4,5,1,49,8,0,1,2,13.477052319421986,1,0,57,66,2025,7,10
0,23,2,387,2,3,3,4,7.09477201462129,4,0,389,385,2025,2,21
3,13,0,32,3,2,3,5,11.642263908756082,3,0,35,35,2025,8,24
3,3,1,1,1,0,1,1,12.18862705855366,1,0,2,1,2025,6,22
0,17,1,334,10,0,2,2,13.593525682169028,1,0,344,354,2025,3,28
2,15,2,42,4,7,5,5,5.6035415256906616,9,0,46,45,2025,7,12
1,23,2,371,4,7,5,5,5.483873485190227,9,0,375,372,2025,3,31
0,1,1,13,0,0,1,1,12.593291830478828,1,0,13,10,2025,5,30
2,2,1,0,2,3,4,5,11.223389552361894,4,0,2,0,2025,2,15
5,4,3,7,4,1,1,2,4.068670969743586,2,0,11,17,2025,7,22
5,13,3,110,4,4,2,3,4.278042989722958,5,0,114,112,2025,11,25
2,21,2,112,3,7,5,6,6.459388539937928,8,0,115,111,2025,9,20
0,4,3,11,6,2,1,3,3.0,3,0,17,20,2025,8,8
5,2,1,17,5,0,1,2,11.077737803375554,1,0,22,25,2025,10,14
3,4,1,0,1,3,5,5,11.565347618815158,4,0,1,0,2025,7,20
3,6,0,1,2,1,2,2,10.039426694100024,2,0,3,1,2025,2,2
5,3,0,24,0,1,2,4,8.25378426965388,2,0,24,23,2025,7,8
2,1,3,0,3,9,4,5,3.489044510954674,11,0,3,0,2025,6,28
5,23,3,412,1,6,4,5,5.197821888908923,8,0,413,406,2025,8,5
4,20,3,300,4,11,5,7,3.5925347520623374,14,0,304,296,2025,12,4
3,23,1,37,2,2,4,5,13.23680090438192,3,0,39,36,2025,2,9
6,17,0,307,14,0,1,2,8.124239733792583,1,0,321,332,2025,10,15
3,0,1,2,3,1,3,3,13.904438316067512,2,0,5,5,2025,7,20
1,1,0,13,3,3,5,7,11.356258231555312,4,0,16,14,2025,5,19
6,15,1,260,9,3,5,5,12.922345308285188,4,0,269,278,2025,2,12
5,0,1,3,4,1,3,4,13.484482065321224,2,0,7,11,2025,2,18
2,1,1,5,4,1,2,4,10.177488815472447,2,0,9,10,2025,3,15
2,2,2,0,0,11,5,7,4.243702608620217,12,0,0,0,2025,3,22
2,23,3,72,4,3,2,4,5.619714226681047,4,0,76,77,2025,12,6
6,14,0,234,5,0,1,2,10.078363462350652,1,0,239,245,2025,10,8
0,23,1,335,0,1,2,3,11.35277718432374,2,1,335,335,2025,5,23
6,10,0,119,7,3,4,5,10.259592765207843,4,0,126,129,2025,11,19
0,2,1,14,4,2,5,6,15.039805673780958,3,0,18,23,2025,2,21
5,9,1,46,7,3,4,4,9.58215111816546,4,0,53,58,2025,5,20
2,2,0,0,0,0,1,3,13.192641540674108,1,1,0,2,2025,1,11
4,2,2,18,2,4,4,4,7.88298014310008,5,0,20,16,2025,2,6
5,4,1,19,3,1,2,4,10.63633544534553,2,0,22,23,2025,10,21
0,18,0,306,4,2,3,3,10.046091726718426,3,0,310,315,2025,4,11
6,21,1,341,2,1,2,4,12.568174021110586,2,0,343,346,2025,9,10
4,4,3,31,2,7,5,7,4.818751110154347,10,0,33,26,2025,11,13
4,6,1,42,5,1,2,3,11.54074323799832,2,0,47,54,2025,8,14
1,12,1,151,10,1,2,2,12.44800069506972,2,0,161,170,2025,7,21
1,11,0,135,7,3,3,5,6.7467137600526215,4,0,142,144,2025,1,13
3,0,1,2,1,1,3,5,12.460442847783598,2,0,3,6,2025,6,1
4,10,1,122,14,3,5,6,11.889175304279258,4,0,136,149,2025,11,20
5,23,3,365,1,6,5,7,6.393829452496398,8,0,366,362,2025,1,21
4,4,1,25,4,1,3,5,14.171131954715667,2,0,29,31,2025,8,21
4,20,1,414,4,3,5,7,13.320289756746218,4,0,418,418,2025,4,3
2,15,2,114,5,3,2,2,5.503307425347694,4,0,119,124,2025,4,19
6,17,3,344,9,2,1,1,3.0,3,0,353,358,2025,5,14
0,1,1,3,3,2,4,4,13.404871624210218,3,0,6,10,2025,5,2
4,9,0,74,7,0,1,1,8.901305984718283,1,0,81,89,2025,5,29
2,23,1,31,2,1,3,3,12.776769259104933,2,0,33,32,2025,8,16
6,19,2,301,3,0,1,2,9.023644080980228,1,1,304,310,2025,3,26
3,13,1,75,0,3,5,6,12.16445170823843,4,0,75,72,2025,2,16
4,18,0,296,3,2,3,3,9.623903501640788,3,0,299,302,2025,9,4
3,3,2,0,1,3,2,3,4.944697887117613,4,0,1,2,2025,11,9
5,9,0,56,10,1,2,3,8.472475282625908,2,0,66,78,2025,4,15
3,8,1,2,2,0,1,2,11.128189910887745,1,0,4,3,2025,1,19
3,8,2,1,2,4,4,5,7.762888244765538,5,0,3,4,2025,6,1
3,14,3,40,8,2,1,3,3.0,3,0,48,57,2025,4,20
4,7,2,30,4,4,3,5,5.478615095096356,5,0,34,33,2025,1,2
6,14,0,205,7,2,2,3,7.172122492504309,3,0,212,217,2025,10,29
6,7,3,16,2,2,1,1,3.0,3,0,18,15,2025,2,26
4,1,0,14,4,3,4,6,9.997530722578118,4,0,18,20,2025,1,16
4,20,0,334,12,2,3,4,9.993906021063356,3,0,346,354,2025,2,13
4,22,0,365,1,3,4,6,9.949812845562736,4,0,366,361,2025,8,14
0,3,1,17,4,1,2,2,13.034574650912065,2,0,21,23,2025,3,21
6,4,0,31,5,4,4,6,7.870309623071733,5,0,36,34,2025,4,2
5,22,0,509,5,1,2,3,8.048522734267692,2,0,514,517,2025,12,9
6,7,1,59,4,0,1,1,12.746325400666713,1,0,63,65,2025,7,30
5,13,1,192,0,0,1,3,10.602999045586673,1,0,192,193,2025,6,17
4,20,1,303,0,2,3,4,11.505625754267752,3,0,303,302,2025,11,13
1,8,0,45,3,3,5,7,11.247310920046388,4,0,48,51,2025,12,8
0,8,1,89,3,1,2,4,11.69794074753457,2,0,92,93,2025,7,11
5,6,2,30,0,5,3,4,4.816050654991665,6,0,30,22,2025,2,4
4,22,2,328,6,5,4,5,7.092690016531415,6,0,334,338,2025,1,2
1,14,0,248,19,4,5,7,8.865009524076441,6,0,267,283,2025,5,26
5,13,0,197,1,1,2,2,12.066672534970843,2,0,198,198,2025,5,20
0,8,2,21,5,5,5,6,7.563500630067196,7,0,26,25,2025,7,18
0,19,1,246,5,1,2,4,10.631078194038876,2,0,251,258,2025,10,3
6,1,2,8,1,4,3,5,5.477972395008989,5,0,9,5,2025,3,19
5,8,1,29,6,2,3,4,11.018187803879512,3,0,35,36,2025,7,22
1,7,2,57,4,1,1,2,5.989824384708001,2,0,61,65,2025,9,29
4,19,3,336,5,4,3,5,5.049816349721037,6,0,341,340,2025,7,17
3,20,3,49,3,1,1,3,5.63842209534352,2,0,52,52,2025,1,26
1,7,0,34,3,3,5,6,11.65015614600904,4,0,37,37,2025,6,23
6,14,1,165,9,2,4,6,12.093509199123291,3,0,174,183,2025,8,20
2,17,1,80,1,3,4,5,10.762180849963524,4,0,81,79,2025,8,2
4,18,3,350,4,2,2,2,5.741013928581946,3,0,354,355,2025,1,23
6,14,1,216,23,0,2,3,14.062526088908797,1,0,239,259,2025,11,5
0,20,3,343,7,0,1,1,7.064446570873261,1,0,350,359,2025,3,14
2,1,3,0,1,1,1,1,4.684392445414863,2,0,1,1,2025,3,29
3,16,3,103,3,6,5,6,6.013926543015279,8,0,106,105,2025,2,23
0,2,1,21,4,0,2,3,13.811585649508537,1,0,25,31,2025,10,31
6,23,2,311,4,2,2,3,6.601283817142484,3,0,315,320,2025,8,6
3,8,1,3,1,1,2,4,10.176985695883282,2,0,4,4,2025,3,9
4,12,2,213,9,1,1,2,5.625449164456806,2,0,222,228,2025,6,26
1,16,3,192,5,1,2,3,8.090701283261147,2,0,197,202,2025,4,28
4,21,3,340,2,3,2,4,5.426369241374713,4,0,342,339,2025,2,13
6,6,3,9,1,8,4,6,3.520416468839115,11,1,10,0,2025,3,12
3,17,1,80,9,2,3,3,11.797963769824,3,0,89,96,2025,5,4
1,18,1,294,1,2,5,6,15.072658898879252,3,0,295,297,2025,1,20
3,22,0,79,0,0,1,3,9.027537186981457,1,0,79,82,2025,5,25
0,22,1,277,3,2,3,5,10.121643841436368,3,0,280,284,2025,4,18
5,7,0,43,2,1,2,3,9.515343441188715,2,1,45,43,2025,10,14
2,20,0,85,3,3,3,3,6.908992454037959,4,0,88,87,2025,1,25
3,17,0,123,5,4,5,6,9.432783437442382,5,0,128,128,2025,8,3
1,4,2,21,1,2,2,3,6.911939852427994,3,0,22,20,2025,9,22
5,9,1,79,10,1,2,3,10.965510316218914,2,0,89,95,2025,4,8
2,20,1,84,2,2,4,4,12.331045759218323,3,0,86,84,2025,10,18
3,12,0,37,5,4,5,7,9.613227135766625,5,0,42,45,2025,7,27
3,17,3,119,5,0,1,3,8.028365047163867,1,0,124,126,2025,1,5
0,21,1,396,3,4,5,6,9.287410931604882,5,0,399,398,2025,6,27
4,9,0,54,7,3,4,4,11.28453474932524,4,0,61,65,2025,1,30
5,5,0,26,4,5,4,5,6.790050313868443,6,0,30,29,2025,2,11
5,22,1,361,4,2,4,4,13.914929831267088,3,0,365,370,2025,7,29
1,13,3,190,6,3,3,3,6.715092931620589,4,0,196,200,2025,3,31
4,2,3,18,6,9,3,5,3.0,10,0,24,19,2025,4,24
5,17,1,365,12,2,5,6,14.46889207619363,3,0,377,390,2025,2,4
5,7,3,28,0,1,1,1,4.128452165550885,2,0,28,25,2025,1,21
6,12,2,154,12,1,2,3,8.200093842568299,2,0,166,179,2025,5,28
5,15,1,203,5,0,1,1,13.77759815849767,1,0,208,215,2025,5,6
0,6,1,47,3,0,1,3,11.419136236162233,1,0,50,52,2025,12,12
3,16,1,154,9,1,2,3,13.137633021712366,2,0,163,173,2025,1,19
1,8,1,32,1,0,1,1,11.934978502995524,1,0,33,32,2025,2,24
1,9,2,81,14,1,2,4,8.330052868811228,2,0,95,109,2025,2,3
4,13,1,172,2,1,2,4,10.90824241809324,2,0,174,173,2025,9,11
0,22,2,316,3,2,2,2,6.9884565339969065,3,0,319,320,2025,1,24
6,20,1,342,1,3,4,4,11.37673895841649,4,0,343,342,2025,7,16
2,3,2,0,1,6,5,5,7.521158309000168,7,0,1,0,2025,10,18
6,15,0,298,12,2,3,4,9.865825307857197,3,0,310,317,2025,2,26
3,7,0,3,0,1,2,4,9.952357771161145,2,1,3,4,2025,5,11
0,8,1,31,3,3,5,5,13.494028233700718,4,0,34,31,2025,5,2
5,18,0,324,2,3,3,5,7.645005003736751,4,0,326,324,2025,7,8
4,17,0,260,7,3,4,5,10.038121097588926,4,0,267,273,2025,10,2
2,23,2,103,1,2,2,2,7.372774656830422,3,0,104,102,2025,11,8
6,10,0,77,7,5,4,6,6.25261722364146,6,0,84,87,2025,11,5
5,13,3,223,4,3,3,5,7.766173665267903,4,0,227,227,2025,12,2
2,20,2,74,1,4,4,6,7.971024328661335,5,0,75,74,2025,7,19
6,14,2,219,3,6,2,3,3.0,7,0,222,218,2025,11,5
1,8,1,45,3,1,3,5,13.690236993129584,2,0,48,48,2025,11,3
2,18,1,101,3,1,2,2,9.682367662954398,2,0,104,107,2025,12,6
4,13,1,194,4,0,1,1,11.132502833895046,1,0,198,203,2025,1,9
3,19,0,110,0,1,2,2,8.864072213013642,2,0,110,106,2025,2,23
6,18,1,277,4,3,4,5,10.93155585312361,4,0,281,285,2025,1,1
6,1,3,12,7,9,4,4,3.4212109326914035,12,0,19,16,2025,10,8
0,8,1,85,4,0,1,1,11.831030111219816,1,0,89,92,2025,6,6
6,5,0,43,4,0,1,3,11.777171701265411,1,0,47,51,2025,4,9
3,22,2,86,4,9,5,6,4.756109025662177,11,0,90,85,2025,4,27
4,6,0,3,1,4,5,7,9.777628244919896,5,0,4,0,2025,12,4
2,12,1,48,6,0,1,2,14.092062569828148,1,0,54,62,2025,1,25
6,14,0,225,14,2,3,4,11.071734730260152,3,0,239,249,2025,1,22
0,20,3,305,4,7,4,6,5.094618653512681,8,0,309,306,2025,6,13
3,4,1,2,2,0,1,1,11.923325501307351,1,0,4,5,2025,5,18
5,14,2,203,7,5,4,4,6.926492866648926,6,0,210,209,2025,6,10
1,23,2,360,2,4,4,5,6.746027149702511,6,0,362,362,2025,11,10
3,21,3,112,2,0,1,1,6.794156170658511,1,0,114,116,2025,6,22
3,16,0,76,6,4,5,6,9.5583067419169,5,0,82,82,2025,9,28
2,19,1,81,0,1,3,4,12.457796042467333,2,0,81,78,2025,9,6
2,6,1,8,1,0,1,2,10.610508298858235,1,0,9,12,2025,12,6
4,10,2,74,3,15,5,5,3.0,17,0,77,63,2025,8,21
3,18,3,88,2,2,1,3,3.7834433824146414,3,0,90,89,2025,9,21
0,19,0,366,4,4,4,5,8.692003441825129,5,0,370,370,2025,3,28
0,8,2,52,2,1,1,1,5.696046421261485,2,0,54,53,2025,9,19
0,16,1,297,10,1,2,2,12.320529639188171,2,0,307,319,2025,1,10
4,19,3,339,3,7,5,7,6.053986337326252,8,0,342,341,2025,3,27
6,3,0,4,4,2,3,4,10.342411981200206,3,0,8,8,2025,11,5
3,7,3,0,3,10,4,5,3.0,13,0,3,0,2025,11,30
4,22,3,376,4,6,4,5,5.721252653162112,7,0,380,377,2025,5,8
2,0,2,0,1,4,2,4,3.648719913337864,5,0,1,0,2025,4,19
6,19,2,370,5,5,5,5,8.656531048391072,6,0,375,376,2025,1,22
1,19,1,404,2,2,4,4,13.32469161798394,3,0,406,404,2025,12,8
1,13,3,209,2,3,3,4,6.999488933888522,4,0,211,207,2025,12,8
4,5,2,36,3,7,4,5,5.129492883541529,8,1,39,32,2025,11,20
1,2,1,15,4,0,1,1,11.305593601411898,1,0,19,24,2025,4,28
4,22,3,329,2,8,5,5,5.0612704584326496,10,0,331,326,2025,2,20
5,14,3,274,9,2,1,1,3.0,3,0,283,289,2025,6,24
4,3,0,21,4,3,5,6,9.91467940264373,5,0,25,23,2025,8,28
4,18,2,331,5,4,4,6,7.354993283193454,5,0,336,338,2025,1,30
1,8,3,44,2,1,1,1,6.009965044734762,2,0,46,46,2025,9,22
3,6,0,0,2,4,5,6,8.720820061119943,6,0,2,2,2025,2,16
3,16,1,52,11,3,5,5,12.461862895769135,4,0,63,71,2025,9,14
0,22,0,333,1,2,3,5,10.176014542976146,3,0,334,330,2025,9,12
3,4,0,5,2,2,4,4,12.401632747367774,3,0,7,10,2025,5,4
4,5,3,25,3,10,4,6,3.803480936382861,11,0,28,19,2025,1,23
2,9,2,2,5,3,3,4,7.70186889165303,4,0,7,11,2025,11,15
2,14,0,67,4,0,1,1,10.19036671346082,1,0,71,76,2025,11,22
6,20,2,335,4,0,1,2,6.715283733820311,1,0,339,340,2025,10,15
1,19,1,371,6,3,5,6,12.494157241645665,4,0,377,381,2025,7,14
3,1,2,0,1,4,4,6,8.016994755614464,5,0,1,0,2025,9,14
6,22,0,367,3,2,3,3,10.001901588572132,3,0,370,368,2025,7,30
4,13,3,243,1,6,4,4,5.079224235500595,8,0,244,237,2025,2,27
0,7,3,43,1,5,3,3,5.272013382444676,6,0,44,42,2025,8,22
3,20,1,56,2,1,2,3,12.441837703538663,2,0,58,61,2025,5,4
5,16,1,304,16,2,3,4,10.120558962205571,3,0,320,334,2025,9,2
0,3,1,31,5,0,1,3,11.3672014357944,1,0,36,44,2025,1,17
2,19,1,74,1,2,3,4,11.349253669094333,3,0,75,71,2025,8,30
4,16,2,248,9,0,1,2,8.96770304636787,1,0,257,265,2025,8,7
3,22,2,54,2,2,2,3,6.276919983544822,3,0,56,53,2025,9,21
0,14,1,201,5,1,3,4,12.40701136647922,2,0,206,208,2025,9,12
1,1,1,36,8,0,1,3,12.932762978512008,1,0,44,54,2025,9,29
3,16,0,66,1,0,1,2,8.998584705353814,1,0,67,71,2025,9,21
2,18,3,120,0,2,2,3,6.560106648448533,3,0,120,120,2025,6,21
3,21,3,94,1,0,1,1,8.31240593173212,1,0,95,93,2025,2,16
0,21,3,308,6,3,2,2,5.075379511797742,4,0,314,320,2025,2,28
0,8,1,57,3,0,1,3,12.2633971669475,1,0,60,64,2025,3,14
4,6,3,34,5,5,3,5,4.099266927264191,7,0,39,40,2025,10,23
1,6,2,11,4,4,5,6,7.927751386002065,6,0,15,15,2025,5,19
6,7,3,12,4,3,2,3,5.473302181850985,4,0,16,14,2025,4,23
2,12,1,52,7,1,3,3,12.607026592893638,2,0,59,63,2025,11,22
4,19,1,360,1,1,2,4,11.95654037291843,2,0,361,359,2025,4,17
5,4,0,20,1,0,1,3,11.53945443309247,1,0,21,24,2025,10,21
6,5,1,34,1,2,3,3,9.976778344185544,3,1,35,34,2025,10,22
3,14,2,86,4,3,3,5,7.614823757514621,4,0,90,93,2025,6,22
2,9,1,2,2,0,1,2,12.521714025049342,1,0,4,4,2025,7,5
6,19,2,274,5,6,5,7,5.964466009890964,8,0,279,280,2025,9,3
1,23,3,383,4,2,2,3,7.557509277992102,3,0,387,391,2025,8,25
2,13,3,38,2,2,1,1,3.9970570113718864,3,0,40,42,2025,2,1
5,6,2,50,4,4,3,3,5.45802987863692,5,0,54,52,2025,10,28
6,2,2,14,3,1,2,4,10.555311659589858,2,0,17,16,2025,8,20
0,18,0,302,3,3,4,5,9.56986866674658,4,0,305,305,2025,10,31
6,16,2,291,5,3,4,4,9.31570397623766,4,0,296,296,2025,2,12
3,5,0,3,2,1,2,3,10.029187265180038,2,0,5,7,2025,3,16
0,13,2,193,5,1,1,1,5.596707851891443,2,0,198,204,2025,10,24
6,18,2,346,8,5,3,3,5.025946695861212,6,0,354,359,2025,11,5
3,8,3,0,0,7,4,5,4.492920434899745,9,1,0,0,2025,9,28
2,22,3,95,2,3,2,2,5.168333671959377,4,0,97,99,2025,3,1
5,5,1,58,8,0,1,3,9.142324695169297,1,0,66,72,2025,12,9
4,6,0,41,4,0,1,2,8.644066882846303,1,0,45,48,2025,5,15
0,17,3,389,5,4,3,3,5.9963936655899,5,0,394,396,2025,8,29
5,14,1,131,5,2,3,4,10.850757712976488,3,0,136,137,2025,4,1
2,4,0,0,2,4,4,5,6.848498127714128,6,0,2,3,2025,5,3
1,18,1,253,0,1,3,4,14.36837351532542,2,1,253,250,2025,6,16
5,12,1,145,12,0,1,3,14.739008886623036,1,0,157,167,2025,8,19
4,6,1,34,3,0,1,2,10.795104776449586,1,0,37,39,2025,10,2
6,9,2,56,16,12,5,7,3.691545822283901,14,0,72,79,2025,10,22
5,22,0,346,4,2,3,5,9.669428458811108,3,0,350,352,2025,7,8
4,5,1,29,5,2,4,5,13.00243589181302,3,0,34,39,2025,5,15
0,4,1,21,4,0,1,2,11.265981976937493,1,0,25,27,2025,1,10
5,15,3,199,14,10,5,5,4.386763650291757,11,0,213,215,2025,4,29
0,10,1,108,7,4,5,7,10.505189524355032,5,0,115,117,2025,8,29
2,19,0,110,1,1,2,4,8.926632074387348,2,0,111,110,2025,7,26
3,8,1,5,2,0,1,1,13.259549529188728,1,0,7,7,2025,10,19
0,19,0,359,4,0,1,3,10.283951389257144,1,0,363,370,2025,6,20
